tag,sada,grp,instance_cnt,temp,inner_iters,min_temp,cooling,max_cycles,meas_cycles,success_rate,restarts_needed,cycles_needed,worst_success,worst_restarts,worst_cycles,q0.05_success,q0.05_restarts,q0.05_cycles,dest_temp_q0.05,duration
wruf36-157\M,wruf36-157,M,50,2,500,0.01,0.1,1151,1194,0.29836,9,10746,0.016,186,222084,0.054,54,64476,0.02,06:58:15.1554134
wruf36-157\M,wruf36-157,M,50,2,1000,0.01,0.1,2301,2416,0.3944,6,14496,0.02,149,359984,0.06,49,118384,0.02,00:42:33.4384379
wruf36-157\M,wruf36-157,M,50,2,1000,0.0333,0.3,3402,3163,0.4428,6,18978,0,1000000,3163000000,0.1,29,91727,0.054,00:18:15.2505810
wruf36-157\M,wruf36-157,M,50,2,1000,0.1,0.3,2488,2237,0.3016,9,20133,0,1000000,2237000000,0.02,149,333313,0.18,00:06:44.9759206
wruf36-157\M,wruf36-157,M,50,2,1000,0.01,0.3,4401,4124,0.4792,5,20620,0,1000000,4124000000,0.06,49,202076,0.0162,01:32:04.9271032
wruf36-157\M,wruf36-157,M,50,2,1000,0.00333,0.3,5314,5112,0.4924,5,25560,0.04,74,378288,0.08,36,184032,0.0162,00:17:52.8219508
wruf36-157\M,wruf36-157,M,50,2,1000,0.001,0.3,6313,6107,0.514,5,30535,0.02,149,909943,0.04,74,451918,0.0162,00:22:17.9398408
wruf36-157\M,wruf36-157,M,50,2,1000,0.01,0.7,14855,12685,0.6588,3,38055,0.08,36,456660,0.08,36,456660,0.0807072,01:44:14.6763900
wruf36-157\M,wruf36-157,M,50,2,1000,0.1,0.9,28433,22851,0.8296,2,45702,0.26,10,228510,0.3,9,205659,0.218838,01:44:29.7850301
wruf36-157\M,wruf36-157,M,50,2,1000,0.333,0.9,17015,12889,0.6288,4,51556,0.2,14,180446,0.22,13,167557,0.333544,01:16:04.6703028
wruf36-157\M,wruf36-157,M,50,2,1000,0.0333,0.9,38870,32182,0.8244,2,64364,0.12,24,772368,0.28,10,321820,0.218838,02:22:52.7146884
wruf36-157\M,wruf36-157,M,20,0.5,500,0.01,0.95,38134,35379,0.835,2,70758,0.425,6,212274,0.425,6,212274,,
wruf36-157\M,wruf36-157,M,20,2,500,0.01,0.95,51647,44542,0.853,2,89084,0.495,5,222710,0.495,5,222710,,
wruf36-157\M,wruf36-157,M,50,2,500,0.01,0.95,51647,44663,0.8356,2,89326,0.16,18,803934,0.28,10,446630,0.209348,04:20:03.4552111
wruf36-157\M,wruf36-157,M,50,2,1000,0.00333,0.9,60724,53642,0.8388,2,107284,0.26,10,536420,0.28,10,536420,0.218838,06:42:29.7958907
wruf36-157\M,wruf36-157,M,20,20,500,0.01,0.95,74093,56604,0.84796,2,113208,0.515,5,283020,0.515,5,283020,,
wruf36-157\M,wruf36-157,M,50,2,1000,0.001,0.9,72142,65589,0.8364,2,131178,0.32,8,524712,0.38,7,459123,0.196954,03:06:34.8909349
wruf36-157\M,wruf36-157,M,20,200,500,0.01,0.95,96538,67975,0.8525,2,135950,0.475,5,339875,0.475,5,339875,,
wruf36-157\M,wruf36-157,M,20,0.2,500,0.01,0.95,29202,27682,0.484,5,138410,0.09,32,885824,0.09,32,885824,,
wruf36-157\M,wruf36-157,M,50,2,1000,0.333,0.3,1489,1347,0.0288,103,138741,0,1000000,1347000000,0,1000000,1347000000,0.6,00:06:14.5214243
wruf36-157\M,wruf36-157,M,50,2,1000,0.01,0.95,103295,89431,0.9248,2,178862,0.46,5,447155,0.48,5,447155,0.270552,07:40:00.5509795
wruf36-157\M,wruf36-157,M,50,2,2000,0.01,0.95,206589,178897,0.9736,1,178897,0.56,4,715588,0.76,3,536691,0.332167,08:59:58.2282234
wruf36-157\M,wruf36-157,M,50,2,4000,0.01,0.95,413178,357923,0.9904,1,357923,0.76,3,1073769,0.88,2,715846,0.407814,1.01:51:55.4872885
wruf36-157\M,wruf36-157,M,50,2,1000,0.01,0.99,527178,454943,0.9972,1,454943,0.92,2,909886,0.96,1,454943,0.425451,1.07:03:06.0799978
wruf36-157\N,wruf36-157,N,50,2,500,0.01,0.1,1151,1194,0.27516,10,11940,0.072,41,48954,0.104,28,33432,0.02,03:18:31.9764434
wruf36-157\N,wruf36-157,N,50,2,1000,0.01,0.1,2301,2418,0.3488,7,16926,0.06,49,118482,0.08,36,87048,0.02,01:26:14.2777421
wruf36-157\N,wruf36-157,N,50,2,1000,0.0333,0.3,3402,3158,0.4312,6,18948,0.14,20,63160,0.14,20,63160,0.054,00:16:26.2271172
wruf36-157\N,wruf36-157,N,50,2,1000,0.1,0.3,2488,2237,0.3036,9,20133,0.02,149,333313,0.1,29,64873,0.18,00:09:49.6794745
wruf36-157\N,wruf36-157,N,50,2,1000,0.01,0.3,4401,4119,0.4864,5,20595,0.04,74,304806,0.14,20,82380,0.0162,00:58:25.0397260
wruf36-157\N,wruf36-157,N,50,2,1000,0.00333,0.3,5314,5105,0.4788,5,25525,0.12,24,122520,0.16,18,91890,0.0162,00:11:26.8923994
wruf36-157\N,wruf36-157,N,50,2,1000,0.001,0.3,6313,6094,0.4936,5,30470,0.12,24,146256,0.12,24,146256,0.0162,00:13:10.1611659
wruf36-157\N,wruf36-157,N,50,2,1000,0.01,0.7,14855,12650,0.6532,3,37950,0.18,16,202400,0.26,10,126500,0.0807072,01:26:20.0232918
wruf36-157\N,wruf36-157,N,50,2,1000,0.333,0.9,17015,12894,0.632,3,38682,0.06,49,631806,0.26,10,128940,0.333544,00:42:17.0541747
wruf36-157\N,wruf36-157,N,50,2,1000,0.1,0.9,28433,22832,0.8628,2,45664,0.48,5,114160,0.56,4,91328,0.196954,00:58:14.2318575
wruf36-157\N,wruf36-157,N,50,2,1000,0.0333,0.9,38870,32105,0.8456,2,64210,0.32,8,256840,0.54,4,128420,0.218838,05:35:20.0248172
wruf36-157\N,wruf36-157,N,20,0.5,500,0.01,0.95,38134,35248,0.84675,2,70496,0.465,5,176240,0.465,5,176240,,
wruf36-157\N,wruf36-157,N,50,2,1000,0.01,0.9,50288,43636,0.8548,2,87272,0.3,9,392724,0.52,5,218180,0.196954,04:10:59.7936625
wruf36-157\M,wruf36-157,N,50,2,1000,0.01,0.9,50288,43736,0.8248,2,87472,0.18,16,699776,0.28,10,437360,0.218838,04:15:07.4750663
wruf36-157\N,wruf36-157,N,20,2,500,0.01,0.95,51647,44388,0.8645,2,88776,0.55,4,177552,0.55,4,177552,,
wruf36-157\N,wruf36-157,N,50,2,500,0.01,0.95,51647,44564,0.8664,2,89128,0.44,6,267384,0.5,5,222820,0.198881,04:20:44.6165861
wruf36-157\N,wruf36-157,N,50,2,1000,0.00333,0.9,60724,53515,0.8656,2,107030,0.38,7,374605,0.46,5,267575,0.196954,02:02:46.1871342
wruf36-157\N,wruf36-157,N,20,20,500,0.01,0.95,74093,56455,0.86725,2,112910,0.5,5,282275,0.5,5,282275,,
